Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01253.02","Onions and shallots, dry (excluding dehydrated)","2021","2021","1000 USD","51615","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01253.01","Onions and shallots, green","2021","2021","1000 USD","40785","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01323","Oranges","2021","2021","1000 USD","6510","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2021","2021","1000 USD","16089","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2021","2021","1000 USD","39795","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01345","Peaches and nectarines","2021","2021","1000 USD","16776","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01342.01","Pears","2021","2021","1000 USD","14065","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01242","Peas, green","2021","2021","1000 USD","7427","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01346","Plums and sloes","2021","2021","1000 USD","29311","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01510","Potatoes","2021","2021","1000 USD","111383","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01235","Pumpkins, squash and gourds","2021","2021","1000 USD","17675","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01342.02","Quinces","2021","2021","1000 USD","3949","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","02211","Raw milk of cattle","2021","2021","1000 USD","380649","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","02292","Raw milk of goats","2021","2021","1000 USD","45230","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","02291","Raw milk of sheep","2021","2021","1000 USD","62794","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","0116","Rye","2021","2021","1000 USD","1912","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","02941","Shorn wool, greasy, including fleece-washed shorn wool","2021","2021","1000 USD","1016","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","0141","Soya beans","2021","2021","1000 USD","247","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01215","Spinach","2021","2021","1000 USD","20358","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01445","Sunflower seed","2021","2021","1000 USD","1010","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01324","Tangerines, mandarins, clementines","2021","2021","1000 USD","14256","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01234","Tomatoes","2021","2021","1000 USD","180108","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01970","Unmanufactured tobacco","2021","2021","1000 USD","6967","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01221","Watermelons","2021","2021","1000 USD","48588","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","0111","Wheat","2021","2021","1000 USD","77057","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01341","Apples","2021","2021","1000 USD","971527","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","0115","Barley","2021","2021","1000 USD","102796","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01243","Broad beans and horse beans, green","2021","2021","1000 USD","168418","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01212","Cabbages","2021","2021","1000 USD","59612","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01251","Carrots and turnips","2021","2021","1000 USD","138916","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01213","Cauliflowers and broccoli","2021","2021","1000 USD","124989","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","2021","1000 USD","216694","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01314","Dates","2021","2021","1000 USD","3543156","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01330","Grapes","2021","2021","1000 USD","895794","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01252","Green garlic","2021","2021","1000 USD","668640","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","0231","Hen eggs in shell, fresh","2021","2021","1000 USD","486543","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01322","Lemons and limes","2021","2021","1000 USD","131354","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2021","2021","1000 USD","864788","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","21121","Meat of chickens, fresh or chilled","2021","2021","1000 USD","489017","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","21115","Meat of sheep, fresh or chilled","2021","2021","1000 USD","3718675","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","0117","Oats","2021","2021","1000 USD","4793","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01253.02","Onions and shallots, dry (excluding dehydrated)","2021","2021","1000 USD","427509","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01253.01","Onions and shallots, green","2021","2021","1000 USD","84","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01323","Oranges","2021","2021","1000 USD","1190346","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2021","2021","1000 USD","103525","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01342.01","Pears","2021","2021","1000 USD","286214","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01242","Peas, green","2021","2021","1000 USD","210611","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01510","Potatoes","2021","2021","1000 USD","1770382","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01235","Pumpkins, squash and gourds","2021","2021","1000 USD","241828","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","02211","Raw milk of cattle","2021","2021","1000 USD","919023","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01324","Tangerines, mandarins, clementines","2021","2021","1000 USD","337869","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01234","Tomatoes","2021","2021","1000 USD","784530","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","01221","Watermelons","2021","2021","1000 USD","1280317","E","Estimated value"
"QV","Value of Agricultural Production","012","Algeria","57","Gross Production Value (current thousand US$)","0111","Wheat","2021","2021","1000 USD","722453","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","01212","Cabbages","2021","2021","1000 USD","62","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","01229","Cantaloupes and other melons","2021","2021","1000 USD","183","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","01251","Carrots and turnips","2021","2021","1000 USD","17","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2021","2021","1000 USD","115","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","2021","1000 USD","674","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","01232","Cucumbers and gherkins","2021","2021","1000 USD","162","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","01233","Eggplants (aubergines)","2021","2021","1000 USD","79","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","0231","Hen eggs in shell, fresh","2021","2021","1000 USD","2807","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","01322","Lemons and limes","2021","2021","1000 USD","2278","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2021","2021","1000 USD","27","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","01316","Mangoes, guavas and mangosteens","2021","2021","1000 USD","3200","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","01253.02","Onions and shallots, dry (excluding dehydrated)","2021","2021","1000 USD","13","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2021","2021","1000 USD","423","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","01318","Pineapples","2021","2021","1000 USD","130","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","01235","Pumpkins, squash and gourds","2021","2021","1000 USD","398","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","01530","Sweet potatoes","2021","2021","1000 USD","310","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","01234","Tomatoes","2021","2021","1000 USD","175","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","01540","Yams","2021","2021","1000 USD","432","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01371","Almonds, in shell","2021","2021","1000 USD","1049816","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01341","Apples","2021","2021","1000 USD","545173","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01311","Avocados","2021","2021","1000 USD","252470","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01312","Bananas","2021","2021","1000 USD","493885","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","0115","Barley","2021","2021","1000 USD","2800781","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01212","Cabbages","2021","2021","1000 USD","50647","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01229","Cantaloupes and other melons","2021","2021","1000 USD","129979","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01251","Carrots and turnips","2021","2021","1000 USD","215294","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01213","Cauliflowers and broccoli","2021","2021","1000 USD","109535","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2021","2021","1000 USD","196840","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01703","Chick peas, dry","2021","2021","1000 USD","390416","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","2021","1000 USD","106690","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01330","Grapes","2021","2021","1000 USD","1353840","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01290.01","Green corn (maize)","2021","2021","1000 USD","151162","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","0231","Hen eggs in shell, fresh","2021","2021","1000 USD","709493","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01704","Lentils, dry","2021","2021","1000 USD","453755","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01214","Lettuce and chicory","2021","2021","1000 USD","141382","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01709.02","Lupins","2021","2021","1000 USD","261469","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2021","2021","1000 USD","85252","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01316","Mangoes, guavas and mangosteens","2021","2021","1000 USD","150107","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2021","2021","1000 USD","4837669","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","21121","Meat of chickens, fresh or chilled","2021","2021","1000 USD","1835021","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","21113.01","Meat of pig with the bone, fresh or chilled","2021","2021","1000 USD","995467","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","21115","Meat of sheep, fresh or chilled","2021","2021","1000 USD","1719637","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01270","Mushrooms and truffles","2021","2021","1000 USD","244514","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","0117","Oats","2021","2021","1000 USD","406747","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01450","Olives","2021","2021","1000 USD","90424","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01253.02","Onions and shallots, dry (excluding dehydrated)","2021","2021","1000 USD","116875","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01323","Oranges","2021","2021","1000 USD","483141","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01241.90","Other beans, green","2021","2021","1000 USD","120130","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","2021","2021","1000 USD","217766","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01345","Peaches and nectarines","2021","2021","1000 USD","154630","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01342.01","Pears","2021","2021","1000 USD","72618","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01318","Pineapples","2021","2021","1000 USD","42582","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01510","Potatoes","2021","2021","1000 USD","589177","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01235","Pumpkins, squash and gourds","2021","2021","1000 USD","51621","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01443","Rape or colza seed","2021","2021","1000 USD","2200777","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","0113","Rice","2021","2021","1000 USD","130999","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","0114","Sorghum","2021","2021","1000 USD","405461","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01354","Strawberries","2021","2021","1000 USD","291796","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01802","Sugar cane","2021","2021","1000 USD","964963","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01324","Tangerines, mandarins, clementines","2021","2021","1000 USD","294675","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","01234","Tomatoes","2021","2021","1000 USD","381480","E","Estimated value"
"QV","Value of Agricultural Production","036","Australia","57","Gross Production Value (current thousand US$)","0111","Wheat","2021","2021","1000 USD","7399922","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","01341","Apples","2021","2021","1000 USD","219833","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","01343","Apricots","2021","2021","1000 USD","31953","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","0115","Barley","2021","2021","1000 USD","131733","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2021","2021","1000 USD","36790","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","01351.01","Currants","2021","2021","1000 USD","16378","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","01330","Grapes","2021","2021","1000 USD","215332","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","0231","Hen eggs in shell, fresh","2021","2021","1000 USD","332882","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","01659","Hop cones","2021","2021","1000 USD","3582","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","0112","Maize (corn)","2021","2021","1000 USD","570211","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2021","2021","1000 USD","942940","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","21121","Meat of chickens, fresh or chilled","2021","2021","1000 USD","407838","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","21122","Meat of ducks, fresh or chilled","2021","2021","1000 USD","2999","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","21123","Meat of geese, fresh or chilled","2021","2021","1000 USD","7400","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","21113.01","Meat of pig with the bone, fresh or chilled","2021","2021","1000 USD","900545","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","21115","Meat of sheep, fresh or chilled","2021","2021","1000 USD","39438","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","21124","Meat of turkeys, fresh or chilled","2021","2021","1000 USD","28709","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","02910","Natural honey","2021","2021","1000 USD","50148","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","0117","Oats","2021","2021","1000 USD","13964","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","01449.90","Other oil seeds, n.e.c.","2021","2021","1000 USD","123327","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","01345","Peaches and nectarines","2021","2021","1000 USD","3830","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","01342.01","Pears","2021","2021","1000 USD","69208","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","01346","Plums and sloes","2021","2021","1000 USD","38954","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","01510","Potatoes","2021","2021","1000 USD","161131","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","01443","Rape or colza seed","2021","2021","1000 USD","52913","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","02211","Raw milk of cattle","2021","2021","1000 USD","1798434","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","02292","Raw milk of goats","2021","2021","1000 USD","27623","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","02291","Raw milk of sheep","2021","2021","1000 USD","16365","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","0116","Rye","2021","2021","1000 USD","25061","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","01344.01","Sour cherries","2021","2021","1000 USD","3641","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","0141","Soya beans","2021","2021","1000 USD","138958","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","01354","Strawberries","2021","2021","1000 USD","76102","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","01801","Sugar beet","2021","2021","1000 USD","114204","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","01445","Sunflower seed","2021","2021","1000 USD","42348","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","01191","Triticale","2021","2021","1000 USD","44607","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","01376","Walnuts, in shell","2021","2021","1000 USD","11329","E","Estimated value"
"QV","Value of Agricultural Production","040","Austria","57","Gross Production Value (current thousand US$)","0111","Wheat","2021","2021","1000 USD","318491","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","57","Gross Production Value (current thousand US$)","01371","Almonds, in shell","2021","2021","1000 USD","5004","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","57","Gross Production Value (current thousand US$)","01341","Apples","2021","2021","1000 USD","72562","E","Estimated value"
"QV","Value of Agricultural Production","031","Azerbaijan","57","Gross Production Value (current thousand US$)","01343","Apricots","2021","2021","1000 USD","17620","E","Estimated value"
